Judul,Author,Genre,Year,Rating
Akuntansi Koperasi & Umkm:Teori Dan Praktik,I GUSTI AYU PURNAMAWATI,Akuntansi,2021.0,5.0
Akuntansi Pengantar 1 Ed Ke 9,Slamet Sugiri Sodikin,Akuntansi,2022.0,5.0
Dasar-Dasar Akuntansi dengan Contoh Sederhana untuk Gambaran yang Lebih Kongkrit,"Drs. Harnanto, M.Soc. Sc., Akuntan",Akuntansi,2019.0,5.0
Akuntansi Management Sebuah Pengantar Ed.5,Slamet Sugiri Sodikin,Akuntansi Manajemen,2022.0,5.0
"Akuntansi Keuangan Syariah, Teori, Kasus Dan Pengantar Menuj","AJI PRASETYO, S.E.I., M.S.A.",Akuntansi Syariah,2019.0,5.0
Akuntansi Perusahaan Dagang: Aplikasi Program Zahir Accounting Versi 6,"Dr. Martinus Robert Hutauruk, S.E., M.M., Ak., CA.",Akuntansi,2017.0,5.0
Kamus Standar Akuntansi Hc,"Ardiyos, SE.",Akuntansi,2020.0,4.9
Akuntansi Suatu Pengantar-Berbasis PSAK Buku 2,PPA FEB UI,Akuntansi,2018.0,5.0
Accounting Principles Edisi Revisi,Rizal Effendi,Akuntansi,2015.0,3.0
Accounting Principles Prinsip-Prinsip Akuntansi Berbasis Sak Etap E,Rizal Effendi,Akuntansi,2014.0,5.0
Akuntansi Entitas Manufaktur,"Dr. Martinus Robert Hutauruk, S.E., M.M., Ak., CA.",Akuntansi,2019.0,5.0
Pengantar Akuntansi Buku 2,"Milla Sepliana Setyowati, Novita Ikasari, Maria Eurelia Wayan danTafsir Nurchamid",Akuntansi,2023.0,5.0
Akuntansi Manajemen,Krismiaji,Akuntansi Manajemen,2010.0,5.0
Akuntansi Keuangan Pengantar,"Krismiaji, Prof. Dr.M.Sc., Ak.Ca. & Dwi Haryono Wiranto, Drs, M.M., Ak., CA",Akuntansi KEUangan,2023.0,4.9
Akuntansi Sektor Publik (Akuntansi Keuangan Pemda Berbasis Akrual),Baldric Siregar,Akuntansi Sektor Publik,2015.0,4.8
"Governansi, Manajemen Risiko, Kepatuhan Dan Akuntansi Menuju Keberlanjutan Organisasi","Prof. Dr. Mardiasmo, MBA., Akt., QIA., CFrA., CA., CSFA",Akuntansi,2024.0,4.6
Pengantar Akuntansi Berdasarkan SAK ETAP & IFRS,"Syaiful Bahri, S.e., Msa",Akuntansi,2020.0,5.0
Akuntansi Biaya Edisi 4,Bastian Bustami,Akuntansi Biaya,2013.0,5.0
"Pengantar Akuntansi, Mudah Membuat Jurnal Dengan Pendekatan Siklus Tansaksi","L.m. Samryn, S.e., Ak., M.m.",Akuntansi,2017.0,5.0
Akuntansi Keuangan Daerah Edisi 3,"Dr. Dwi Ratmono, M.Si., Ak. CA., QIA.; Prof. Mahfud Sholihin, S.E., M.Acc., Ph.D., Ak., CA",Akuntansi KEUangan,2023.0,4.0
