Judul,Author,Genre,Year,Rating
"Pengukuran Kinerja Keuangan Perusahaan Asuransi Kerugian Di Indonesia: Dengan Analisis Rasio Keuangan ""Early Warning System""",Salusra Satria,Keuangan,2019.0,4.29
Cerdas Mengelola Keuangan Pribadi,Herlina P. Dewi,Keuangan,2015.0,4.21
Otoritas Jasa Keuangan & Konglomerasi Keuangan: Tinjauan Ekonomi-Politik,"Makmur Keliat, Asra Virgianita, Agus Catur Aryanto Putro
",Keuangan,2015.0,5.0
Revolusi Keuangan Total,Rudi Hartono,Keuangan,2015.0,5.0
Asas-Asas Manajemen,Ulbert Silalahi,Manajemen,2011.0,4.19
Dimensi Manajemen Pendidikan Islam,Mujamil Qomar,Manajemen,2015.0,4.38
Mengapa Manajemen Diperlukan - Audiobook Indonesia,"H. Tokit Masditok, SE, MM",Manajemen Umum,2017.0,5.0
Akuntansi Keuangan Pengantar,"Krismiaji, Prof. Dr.M.Sc., Ak.Ca. & Dwi Haryono Wiranto, Drs, M.M., Ak., CA",Akuntansi KEUangan,2023.0,4.9
Akuntansi Keuangan Daerah Edisi 3,"Dr. Dwi Ratmono, M.Si., Ak. CA., QIA.; Prof. Mahfud Sholihin, S.E., M.Acc., Ph.D., Ak., CA",Akuntansi KEUangan,2023.0,4.0
Panduan Penerapan Reviu Laporan Keuangan Pemerintah Daerah,"Dadang Suwanda,Se.,Mm.,M.Ak.,C.,Dkk",Laporan Keuangan,2017.0,5.0
Analisa Laporan Keuangan,"Hery, Se",Laporan Keuangan,2016.0,5.0
Teori Manajemen Pendidikan,"Prof. Dr. Mukhtar Latif, M.Pd.",Manajemen Pendidikan,2018.0,5.0
"Manajemen Pendidikan Teori, Kebijakan, dan Praktik",Jejen Musfah  Jejen Musfah (Ed.),Manajemen Pendidikan,2017.0,5.0
"Manajemen Madrasah: Teori, Riset dan Praktik","Dr. Muhammad Munadi, S.Pd., M.Pd.",Manajemen Pendidikan,2022.0,5.0
Manajemen Ed. 4: Teori Praktik & Riset Pendidikan,Husaini Usman,Manajemen Pendidikan,2022.0,5.0
Manajemen Resiko,Setia Mulyawan,Manajemen Risiko,2015.0,5.0
"Manajemen: Teori, Praktik, dan Riset Pendidikan",Husaini Usman,Manajemen Pendidikan,2016.0,4.0
Kantor Hukum Pendirian Dan Manajemennya (Teori Dan Praktik),Ari Wahyudi Hertanto,Manajemen Pekantoran,2022.0,5.0
Mengelola Keuangan Pribadi untuk Perempuan Lajang dan Menikah,Herlina P. Dewi,Perencanaan Keuangan,2010.0,4.12
Managing Business Process Flows (Prinsip-Prinsip Manajemen Operasi),"Ravi Anupindi, Sunil Chopra, Shudakar D Deshmukh, Jan A. Van Mieghem, Eitan Zemel  Ravi Anupindi, Sunil Chopra, Shudakar D Deshmukh, Jan A. Van Mieghem, Eitan Zemel",Manajemen Operasi,2011.0,5.0
Secrets Of Customer Relationship Management (Rahasia Manajemen Hubungan Pelanggan),James G.Barnes,Manajemen Pemasaran,2020.0,4.7
Prinsip-Prinsip Manajemen Pemasaran,Amirullah,Manajemen Pemasaran,2021.0,4.8
Financial Management Canvas,"Kho Sin Hien,fransiska Ida Mariani",Manajemen Keuangan,2017.0,5.0
