judul,tahun_terbit,kategori,penulis,total_peminjam
Dasar-Dasar Akuntansi Biaya Buku 1 Edisi 4,2017,Akuntansi Biaya," Michael W.Maher, Shannon W.Anderson, William N.Lanen,William N.Lanen",12
Kamus Inggris Indonesia an English-Indonesian Dictionary,2008,Bahasa Inggris," ECHOLS, Hassan, SHADILY,ECHOLS,John M.",12
Langkah Mudah Belajar Struktur Data Menggunakan C/C++,2017,Ilmu Komputer," Ema Utami, Windha Mega Pradnya D,Ema Utami",12
Manajemen Operasi Edisi 7 Buku 2,2008,Manajemen Operasi," HEIZER, RENDER,Barry,HEIZER,Jay",12
Manajemen Operasi Edisi 9 Buku 1,2009,Manajemen Operasi," HEIZER, RENDER,Barry,HEIZER,Jay",12
Manajemen Perkreditan,2014,Ekonomi Keuangan," Irham Fahmi,Irham Fahmi",12
Manajemen Portofolio dan Investasi Edisi 9 Buku 1,2014,Ekonomi Keuangan," Bodie, Kane, Marcus,Bodie",12
Pengantar Keuangan Perusahaan Buku 2 (Edisi Global Asia),2016,Manajemen Keuangan," Bradford D. Jordan, Randolph W. Westerfield, Stephen A. Ross,Stephen A. Ross",12
Pengantar Pasar Modal: Di Desain Untuk Mempelajari Pasar Modal Dengan Mudah Dan Praktis,2019,Ekonomi Keuangan," Martalena, Maya Malinda,Martalena",12
Sistem Informasi Manajemen Edisi 10,2008,Manajemen Informasi," George, Mc LEOD Jr., SCHELL,Mc LEOD Jr.,Raymond",12
Teori Akuntansi Keuangan,2012,Akuntansi Lanjutan," Rahmawati,Rahmawati",12
Akuntansi Sektor Publik: Edisi Terbaru 2018,2018,Akuntansi," MARDIASMO,MARDIASMO",11
Perpajakan Edisi Revisi,2013,Perpajakan," MARDIASMO,MARDIASMO",11
Akuntansi Keuangan Lanjutan : Perspektif Indonesia,2012,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",10
Akuntansi Manajemen Buku 1 Ed.7,2004,Akuntansi Manajerial," HANSEN, Jhon C., MOWEN,Don R.,HANSEN",10
Analisis Laporan Keuangan: Financial Statement Analysis Edisi 10 Buku 1,2014,Laporan Keuangan," John J. Wild, K. R. Subramanyam,K. R. Subramanyam",10
Audit Teknologi Informasi & Assurance Buku 2 Ed.2,2007,Audit Keuangan," HALL, James A., Singleton, Tommie,HALL",10
Bank dan Lembaga Keuangan,2013,Ekonomi Keuangan," Francis Tantri, Thamrin Abdullah,Thamrin Abdullah",10
Manajemen Perbankan,2017,Ekonomi Keuangan," Kasmir,Kasmir",10
"Manajemen Risiko : Prinsip, Penerapan, dan Penelitian",2017,Manajemen Risiko," Bambang Rianto Rustam,Bambang Rianto Rustam",10
Manajemen Sumber Daya Manusia,2015,Manajemen Sumber Daya Manusia," Sentot Imam Wahjono,Sentot Imam Wahjono",10
Pemasaran Strategik Edisi 2,2012,Manajemen Strategi," Fandy Tjiptono, Gregorius Chandra,Fandy Tjiptono",10
Pendidikan Kewarganegaraan,2008,Kewarganegaraan," Mansyur H, Sumarsono S,Sumarsono S",10
Pengantar Akuntansi 2 Adaptasi Indonesia Edisi 4,2018,Akuntansi," Amir Abadi, Carl S., JUSUF, Jonathan E. Duchac, REEVE, WAHYUNI, WARREN,Ersa Tri,James M.,WARREN",10
Rahasia Langkah-langkah Jitu Menggunakan MYOB Accounting,2014,Akuntansi," Elan Kurniawan, Fitrawansyah,Fitrawansyah",10
"SPSS Vs LISREL: Sebuah Pengantar, Aplikasi untuk Riset",2011,Metode Riset," JULIANITA, SARJONO,Haryadi,SARJONO,Winda",10
Akuntansi Manajemen Edisi 5 Jilid 1,2009,Akuntansi Manajerial," Anthony A. Atkinson, Ella Mae Matsumura, Robert S. Kaplan,Anthony A. Atkinson",9
Al-Islam,2011,Islam," Rois Mahfud,Rois Mahfud",9
Aplikasi SPSS untuk Smart Riset,2013,Metode Riset," Rony Setiawan, Sunjoyo, Verani Carolina,Sunjoyo",9
Dasar-Dasar Perbankan Edisi Revisi 2014,2016,Ekonomi Keuangan," Kasmir,Kasmir",9
Komunikasi Bisnis Edisi 5,2019,Marketing," Djoko Purwanto,Djoko Purwanto",9
Manajemen Biaya Edisi 5 Buku 1,2011,Manajemen," David E. Stout, Edward J. Blocher, Gary Cokins,Edward J. Blocher",9
Manajemen Bisnis,2009,Manajemen Bisnis," Pandji Anoraga,Pandji Anoraga",9
Manajemen Keuangan:  Prinsip dan Penerapan Edisi 10 Jilid 1,2011,Manajemen Keuangan," Arthur J. Keown, J. William Petty, John D. Martin,Arthur J. Keown",9
Manajemen Keuangan: Prinsip dan Penerapan Edisi 10 Jilid 2,2010,Manajemen Keuangan," Arthur J. Keown, J. William Petty, John D. Martin,Arthur J. Keown",9
Manajemen Perbankan : Dari Teori Menuju Aplikasi,2018,Ekonomi Keuangan," Ismail,Ismail",9
Marketing 5.0 : Teknologi Untuk Kemanusiaan,2022,Marketing," Hermawan Kartajaya, Iwan Setiawan, Philip Kotler,Philip Kotler",9
Matematika Diskrit dan Aplikasinya pada Ilmu Komputer Edisi 4,2009,Ilmu Komputer," Jong Jek Siang,Jong Jek Siang",9
Pengantar Bisnis,2013,Bisnis," M. Manullang,M. Manullang",9
Perpajakan Buku 1 Ed.7,2014,Akuntansi," RESMI,RESMI,Siti",9
Strategi Pemasaran Edisi 4,2015,Manajemen Strategi," Fandy Tjiptono,Fandy Tjiptono",9
Accounting Theory Buku 2 Edisi 5,2012,Akuntansi," Ahmed Riahi, Belkaoui,Ahmed Riahi",8
Akuntansi Biaya Edisi 4,2013,Akuntansi Biaya," Bastian Bustami, NURLELA,NURLELA",8
Akuntansi Keuangan Lanjutan Buku 2 Ed.1,2013,Akuntansi Lanjutan," BAKER, LEMBKE,BAKER,Richard E.,Valdean C.",8
Akuntansi Manajerial Buku 2 Ed.8,2009,Akuntansi Manajerial," HANSEN, MOWEN,Don R.,HANSEN,Maryanne M.",8
Akuntansi Perpajakan,2015,Akuntansi," Diaz Priantara, Wirawan B. Ilyas,Wirawan B. Ilyas",8
Bahasa Indonesia untuk Perguruan Tinggi,2009,Linguistik," Kunjana Rahardi,Kunjana Rahardi",8
"Ekonomi Mikro Ed 11, Buku 1",2017,Kewirausahaan," Michael, PARKIN,PARKIN",8
Etika Bisnis: Pengambilan Keputusan untuk Integritas Pribadi & Tanggung Jawab Sosial,2011,Etika Profesi," Joe DesJardins, Laura Hartman,Joe DesJardins",8
Hukum Perbankan,2017,Hukum Perbankan," Shomad, Trisandni P.Usanti,Trisandni P.Usanti",8
Jasa Audit dan Assurance Edisi 8 Buku 1,2014,Audit Keuangan," GLOVER, MESSIER, William F.,MESSIER,Steven M.",8
Komunikasi Bisnis Edisi 8 Jilid 2,2008,Marketing," Courtland L. Bovee, John V. Thill,Courtland L. Bovee",8
Komunikasi Pemasaran,2012,Manajemen Pemasaran," Agus Hermawan,Agus Hermawan",8
Manajemen Keuangan,2017,Manajemen Keuangan," Mushafa,Mushafa",8
Manajemen SDM dalam Organisasi Publik dan Bisnis,2014,Manajemen Organisasi," Donni Juni Priansa, Suwatno,Suwatno",8
Panduan Praktis Standar Akuntansi Keuangan Berbasis IFRS Edisi 2,2013,Akuntansi Lanjutan," JUAN, WAHYUNI,Ersa Tri,JUAN,Ng Eng",8
Pengantar Manajemen Edisi Revisi,2019,Manajemen," Ernie  Tisnawatie Sule, Kurniawan Saefullah,Ernie  Tisnawatie Sule",8
Perilaku Organisasi : Manajemen Sumber Daya Manusia dan Organisasi Edisi 9,2013,Manajemen Sumber Daya Manusia," Gregory Moorhead, Ricky W. Griffin,Gregory Moorhead",8
"Perpajakan Indonesia Buku Ed12, Buku 1",2018,Perpajakan," WALUYO,WALUYO",8
Seluk Beluk Perdagangan Ekspor Impor Jilid 3,2018,"Perdagangan, Komunikasi, Transportasi"," Haikal, Hamdani,Hamdani",8
Structural Equation Modeling Untuk Penelitian Manajemen Menggunakan AMOS 18.00,2013,Manajemen," Parwoto Wardoyo, Siswoyo Haryono,Siswoyo Haryono",8
Analisis Kinerja Keuangan,2014,Laporan Keuangan," Irham Fahmi,Irham Fahmi",7
Aspek dan Prosedur Ekspor Impor,2011,"Perdagangan, Komunikasi, Transportasi"," Marolop Tanjung,Marolop Tanjung",7
Ekspor Impor : Teori dan Praktikum Kegiatan Ekspor Impor untuk Praktisi Logistik dan Bisnis,2017,"Perdagangan, Komunikasi, Transportasi"," Edi Supardi,Edi Supardi",7
In a Blue Moon,2015,Retorika & Kumpulan Karya Sastra," Ilana Tan,Ilana Tan",7
Pendidikan Kewarganegaraan di Perguruan Tinggi,2014,Kewarganegaraan," Jakni,Jakni",7
Perpajakan Edisi 2019,2019,Perpajakan," MARDIASMO,MARDIASMO",7
Perpajakan Edisi Terbaru 2016,2016,Perpajakan," MARDIASMO,MARDIASMO",7
Strategi Pemasaran Edisi 3,2008,Manajemen Strategi," Fandy Tjiptono,Fandy Tjiptono",7
Teori & Praktik Manajemen Keuangan,2008,Manajemen Keuangan," Lukas Setia Atmaja,Lukas Setia Atmaja",7
The Things You Can See Only When You Slow Down,2018,Retorika & Kumpulan Karya Sastra," Haemin Sunim,Haemin Sunim",7
Akuntansi Biaya,2013,Akuntansi Biaya," Lukman Surjadi,Lukman Surjadi",6
Akuntansi Biaya Buku 1 Ed.14,2009,Akuntansi Biaya," CARTER, Milton F., USRY, William K.,CARTER",6
Akuntansi Biaya Edisi 12 Jilid 1,2008,Akuntansi Biaya," Charles T. Horngren, George Foster, Srikant M. Datar,Charles T. Horngren",6
Akuntansi Biaya Edisi 4 Revisi,2018,Akuntansi Biaya," Catur Sasongko, DUNIA, Wasilah Abdullah,DUNIA,Firdaus A.",6
Akuntansi Intermediate Jilid 1 Ed.12,2007,Akuntansi Intermediate," KIESO, WEYGANDT,Donal E.,Jerry J.,WEYGANDT",6
Akuntansi Keu.Menengah Berbasis PSAK Buku 2 Ed.1,2015,Akuntansi Keuangan," MARTANI, Sylvia, VERONICA,Dwi,MARTANI",6
Akuntansi Keuangan Lanjutan Edisi IFRS,2011,Akuntansi Lanjutan," Golrida Karyawati,Golrida Karyawati",6
Akuntansi Lanjutan = Advanced Accounting Edisi 9 Jilid 1,2009,Akuntansi," Floyd A. Beams, Joseph H. Anthony, Robin P. Clement,Floyd A. Beams",6
Akuntansi Manajemen Ed.2,2011,Akuntansi Manajerial," ARYANI, KRISMIAJI,KRISMIAJI,Y.Anni",6
Akuntansi Manajerial Edisi 14 Buku 2,2013,Akuntansi Manajerial," Brewer, Garrison, Noreen,Garrison",6
Akuntansi Syariah Di Indonesia Edisi 4,2018,Ekonomi Syariah," Sri Nurhayati, Wasilah,Wasilah",6
Analisis Laporan Keuangan,1995,Laporan Keuangan," Akt., Dr. Mamduh M. Hanafi, M.B.A, Prof. Dr. Abdul Halim,Dr. Mamduh M. Hanafi",6
Analisis Laporan Keuangan Edisi 8 Buku 2,2009,Laporan Keuangan," SUBRAMANYAM, WILD,John,K.R.,WILD",6
Applying IFRS for SMEs,2012,Akuntansi," Allan Lombard, Bruce Mackenzie, Danie Coetsee,Bruce Mackenzie",6
