judul,tahun_terbit,kategori,penulis,total_peminjam
Dahsyatnya Salat Tahajud dan Salat Duha,2019,Ekonomi Syariah,Muhammad Fadhlun,1
Dari Pabrik Gula Menuju Industri Berbasis Tebu,2005,Manajemen,Rama Prihandana,1
Dasar-Dasar Manajemen Keuangan,2014,Manajemen Keuangan,Farah Margaretha,1
Dasar-dasar Teori Portofolio & Analisis Sekuritas Edisi 5,2015,Manajemen,"HUSNAN,Suad",1
Data mining : untuk klasifikasi dan klasterisasi data,2019,Ilmu Komputer,Suyanto,1
Di Kaki Bukit Cibalak,2019,Retorika & Kumpulan Karya Sastra,Ahmad Tohari,1
Digital Fortress,2018,Retorika & Kumpulan Karya Sastra,Dan Brown,1
"Dimensi-dimensi Pendidikan Karakter: Wawasan, Strategi, dan Langkah Praktis",2011,Pendidikan Karakter,Saptono,1
Educating For Character: Mendidik untuk Membentuk Karakter,2013,Pendidikan Karakter,Thomas Lickona,1
Ekonomi Internasional,2014,Ekonomi Internasional,Mahyus Ekananda,1
Ekonomi Islam : Teori Dan Aplikasinya Pada Aktivitas Ekonomi,2014,Ekonomi Syariah,Rozalinda,1
Ekonomi Makro Buku 2 Edisi 11,2018,Ekonomi Makro," Michael,PARKIN",1
"Ekonomi Makro Modern, Devil Circle",2020,Ekonomi Makro,"Airin Nuraini,M.Si",1
"Ekonomi Uang, Perbankan dan Pasar Keuangan Edisi 8 Buku 1 = The Economics of Money, Banking, and Financial Markets",2008,Ilmu Ekonomi," Frederic S.,MISHKIN",1
Emotional Healing Therapy,2013,Psikologi,Irma Rahayu,1
English Grammar Edisi 3,2004,Bahasa Inggris,Eugene Ehrlich,1
Etika Bisnis Jepang ; Petunjuk Praktis Menuju Sukses Orang Jepang,1992,Etika Profesi,Diana Rowland,1
Eugene Rewrite,2019,Retorika & Kumpulan Karya Sastra,Ellya Ningsih,1
"Evaluasi Kinerja Sumber Daya Manusia ; Teori, Aplikasi, dan Penelitian",2012,Manajemen Sumber Daya Manusia,WIRAWAN,1
Every Word You Cannot Say,2019,Seni,Iain S. Thomas,1
Food and Beverage Service Operational,2012,Kewirausahaan,I Gede Agus Mertayasa,1
Forgiving the Unforgivable,2019,Psikologi,Afthonul Afif,1
Four Seconds,2018,Psikologi,Peter Bregman,1
Guru Aini,2020,Retorika & Kumpulan Karya Sastra,Andrea Hirata,1
Hainan Travel and Tourism Development Potencial 2011-2021,2021,Pariwisata,World Travel and Tourism Council,1
Hati Seorang Pemimpin,2001,Ilmu Sosial,Ken Blanchard,1
How To Be A Proffessional Customer Service,2018,Marketing,Budi Haryono,1
How To Fight,2017,Manajemen,Thich Nhat Hanh,1
How To Plan And Execute Strategy,2007,Manajemen Strategi,Wallace Stettinius,1
How To Talk To Anyone,2017,Ilmu Sosial,Leil Lowndes,1
Hukum Pajak Edisi 4,2009,Hukum Pajak,"Erly,SUANDY",1
Hukum Pajak Indonesia,2017,Hukum Pajak,"Dr.Bustamar Ayza,MM.,SH.",1
Hukum Perbankan Syariah_Akad-akad dan dasar Hukumya,2018,Hukum Perbankan,"M.Ag.,Prof.Dr.Abd.Hadi.",1
IFRS Made Easy,2012,Akuntansi,Steven M. Bragg,1
Inspiring Words ; Berani Gagal = Berani SUkses (Sukses Berawal dari Cara Berfikiri),2007,Pendidikan Karakter,Ida Prastiowati,1
Internal Auditing,1997,Audit Keuangan," Gil,COURTEMANCHE",1
International Corporate Finance = Keuangan Perusahaan Internasional Edisi 8 Buku 1,2006,Manajemen Keuangan," Jeff,MADURA",1
International Corporate Finance = Keuangan Perusahaan Internasional Edisi 8 Buku 2,2006,Manajemen Keuangan," Jeff,MADURA",1
Intisari Manajemen Pemasaran Edisi 6,2021,Manajemen Pemasaran,Kotler Keller,1
Isyarat Cinta Yang Keras Kepala,2017,Retorika & Kumpulan Karya Sastra,Puthut Ea,1
Jangan Ucapkan Cinta,1998,Retorika & Kumpulan Karya Sastra,Mira W.,1
JavaScript,1997,Kecerdasan Buatan,Lani Sidharta,1
JavaScript: A Beginner's Guide,2001,Metode Riset," John,POLLOCK",1
Kabut Negeri Si Dali,2018,Retorika & Kumpulan Karya Sastra,A. A. Navis,1
Kaizen,2019,Psikologi,Sarah Harvey,1
Kambing dan Hujan,2018,Retorika & Kumpulan Karya Sastra,Mahfud Ikhwan,1
Kamus Pemasaran,2013,Manajemen Pemasaran,Charles Doyle,1
Kepemimipinan Dalam Manajemen,2015,Marketing," Miftah,THOHA",1
Kepemimpinan Birokrasi,2015,Ilmu Sosial,Harbani Pasolong,1
Keuangan Negara Ed.4,1997,Administrasi Negara,"M.,SUPARMOKO",1
"Kiat Jitu Menulis Skripsi, Tesis dan Disertasi",2013,Retorika & Kumpulan Karya Sastra,Sutanto Leo,1
Kiat Sukses Public Relations dan Pembentukan Citranya,2002,Humas," Tony,GREENER",1
Komunikasi Pemasaran Terpadu dalam Periklanan dan Promosi Edisi 8,2014,Manajemen Pemasaran,Terence A. Shimp,1
Koreksi Mazhabmu!,2017,Islam,Yoli Hemdi,1
Kumpulan Soal Ujian Tengah Semester Ganjil T.A. 2015/2016 Program Studi Keuangan dan Perbankan & Manajemen Pemasaran,1998,Manajemen Pemasaran,AMK,1
Lambe Akrobat,2018,Retorika & Kumpulan Karya Sastra,Agus Mulyadi,1
Leadership and Teamworking: Membangun Tim yang Efektif dan Berkinerja Tinggi Melalui Kepemimpinan,2013,Psikologi,Kaswan,1
Leadership Kepemimpinan Sebuah Resep dari Sun Zi,2000,Marketing,Sayling Wen,1
Lifestyle Marketing,2009,Marketing,Bernard T. Widjaja,1
Lima Cerita,2019,Retorika & Kumpulan Karya Sastra,Desi Anwar,1
Makroekonomi Edisi 6,2006,Ekonomi Makro,N. Gregory Mankiw,1
Manajemen : Plus Kasus-Kasus Manajemen Ed.3,2011,Manajemen,Mamduh M. Hanafi,1
Manajemen Dana dan Kesehatan Bank,2012,Ekonomi Keuangan,"Frianto,PANDIA",1
Manajemen E-Commerce,2018,Manajemen,Rakhmat Makmur,1
Manajemen Investasi,2019,Manajemen Investasi,Mahyus Ekananda,1
Manajemen Investasi Edisi 2,2015,Manajemen Investasi,Irham Fahmi,1
Manajemen Keuangan,2010,Manajemen Keuangan,Siswandi,1
Manajemen Keuangan,2016,Manajemen Keuangan," M.B.A,Dr. Mamduh M. Hanafi",1
"Manajemen Keuangan : Berbasis Balanced Scorecard Pendekatan Teori, Kasus, dan Riset Bisnis",2017,Manajemen Keuangan,Harmono,1
Manajemen Keuangan Internasional Edisi 3,2012,Manajemen Keuangan," Hamdy,HADY",1
Manajemen Keuangan Perusahaan,2000,Manajemen Keuangan,"Lukman,SYAMSUDDIN",1
Manajemen Keuangan Syariah,2014,Manajemen Keuangan,MUHAMAD,1
"Manajemen Keuangan Teori, Aplikasi dan Hasil Penelitian",2017,Manajemen Keuangan,V. Wiratna Sujarweni,1
Manajemen Kinerja teori dan aplikasi,2015,Manajemen Keuangan,Irham Fahmi,1
Manajemen Kompensasi,2014,Manajemen Keuangan,Kadarisman,1
Manajemen Pemasaran Buku 1,1995,Manajemen Pemasaran,"KOTLER,Philip",1
Manajemen Pemasaran dan Pemasaran Jasa,2014,Manajemen Pemasaran,Buchari Alma,1
Manajemen Pemasaran Internasional Jilid II Edisi 2,2007,Manajemen Pemasaran,"Henry,SIMAMORA",1
Manajemen Pemasaran Jilid 1,2005,Manajemen Pemasaran,"KOTLER,Philip",1
Manajemen Pemasaran Jilid 1 Edisi Milenium,2000,Manajemen Pemasaran,"KOTLER,Philip",1
Manajemen Pemasaran Strategis = Strategic Market Management Edisi 8,2013,Manajemen Pemasaran,David A. Aaker,1
"Manajemen Pemasaran: Dasar, Konsep dan Strategi",1999,Manajemen Pemasaran," Assauri,Sofjan",1
Manajemen Pendidikan Karakter,2016,Pendidikan Karakter,E. Mulyasa,1
Manajemen Pengambilan Keputusan: Teori dan Aplikasi,2013,Manajemen,Irham Fahmi,1
Manajemen Pengantar Ed.1_Rev.,2008,Manajemen,"Agus,SABARDI",1
"Manajemen Perbankan: Konsep, Teknik dan Aplikasi",2010,Humas," SE.,TASWAN",1
Manajemen Resiko 2,2016,Manajemen Risiko,Ikatan Bankir Indonesia,1
Manajemen Strategis Teori dan Aplikasi,2013,Manajemen Strategi,Irham Fahmi,1
Manajemen Sumber Daya Manusia Edisi 10 Jilid 1,2008,Manajemen Sumber Daya Manusia,R. Wayne Mondy,1
Manajemen Sumber Daya Manusia Perguruan Tinggi: Pendekatan Budaya Kerja Dosen Profesional,2013,Manajemen Sumber Daya Manusia,Arwildayanto,1
Manajemen Sumber Daya Manusia: 63 Kaidah Tak Terbantah Mulai dari Merekrut hingga Memberdayakan Karyawan,2003,Manajemen Sumber Daya Manusia,Ronald O'Reilly,1
Manusia Digital,2019,Manajemen,Chris Skinner,1
Marketing Intelligence Ed.1,2011,Marketing,"Jonathan,SARWONO",1
Melawan Korupsi,2018,900/,Vishnu Juwono,1
Memulihkan Sekolah Memulihkan Manusia,2019,Pendidikan Karakter,Haidar Bagir,1
Mendeteksi Manipulasi Laporan Keuangan Ed.1,2013,Laporan Keuangan,"TUANAKOTTA,Theodorus M.",1
Mengadili Demokrasi,2010,Islam,Hafizh Shalih,1
Menguasai Pemrograman Berorientasi Objek,2020,Ilmu Komputer,Ade Rahmat Iskandar,1
Meniti Jalan Perubahan,2019,Manajemen,Hermansyah Kahir,1
Menulis di Media Massa Gampang ; Tips Untuk Menulis di Media Massa Cetak,2005,Bisnis,St. S. Tartono,1
Meraih Sukses Bermakna,2009,Psikologi,Dodik Ridho Nurrochmat,1
Metode Penelitian Bisnis,2005,Bisnis,SUGIYONO,1
Metode Penelitian Ilmu Sosial : Pendekatan Kualitatif dan Kuantitatif Edisi 2,2009,Ilmu Sosial,"IDRUS,Muhammad",1
Metodologi Penelitian Bisnis,2011,Metode Riset,Anwar Sanusi,1
Microsoft Excel 2010 dan MySQL untuk Membuat Aplikasi Akuntansi,2012,Ilmu Komputer,WAHANA Komputer Semarang,1
Milenial Nomics,2019,Manajemen,Haryo Setyo Wibowo,1
Mudah Memahami dan Menganalisis Indikator Ekonomi Buku 2,2015,Ilmu Ekonomi,Mudrajad Kuncoro,1
Negeri Senja,2018,Retorika & Kumpulan Karya Sastra,Seno Gumira Ajidarma,1
NLP: Neuro Linguistic Programming Secrets,2010,Psikologi,Carolyn Boyes,1
Olive Again,2019,Retorika & Kumpulan Karya Sastra,Elizabeth Strout,1
Omen #7,2017,Retorika & Kumpulan Karya Sastra,Lexie Xu,1
Orang-Orang Pinggiran,2019,Retorika & Kumpulan Karya Sastra,Lea Pamungkas,1
Orang-Orang Proyek,2019,Retorika & Kumpulan Karya Sastra,Ahmad Tohari,1
Organisasi dan Arsitektur Komputer Revisi Keempat,2017,Ilmu Komputer,Maman Abdurohman,1
Pajak dan BNBP,2018,Perpajakan,Ali Suprayitno,1
Pajak Pertambahan Nilai Indonesia Ed.1,2000,Perpajakan," Untung,SUKARDJI",1
"Panduan Kilat pemrograman PHP, langsung bisa",2020,Ilmu Komputer,Arista Prasetyo Adi,1
Paradigma Baru dalam Manajemen Ritel Modern,2005,Manajemen Ritail," Asep ST,SUJANA",1
Paradigma Baru Pendidikan Kewarganegaraan,2013,Kewarganegaraan,WINARNO,1
Pariwisata Berkelanjutan: Kombinasi Strategi dan Paradigma Pembangunan Berkelanjutan,2020,Kewirausahaan,Muharto,1
Pasar Modal Indonesia Menjadi Bursa Kelas Dunia,2005,Ekonomi Keuangan,"Adler H.,MANURUNG",1
Pastry & Bakery,2017,Gastronomi,Emmita Devi H.P.,1
Pedoman Gerakan Peningkatan Produksi Beras Nasional (P2BN),2007,Manajemen,Direktorat Jenderal Tanaman Pangan,1
Pemasaran Internasional : Komoditi Pertanian dan Industri di Indonesia Ed.1,2013,Manajemen Pemasaran,Ma'mun Sarma,1
Pendidikan Agama Islam,2000,Islam," M. Daud,ALI",1
Pendidikan Karakter: Konsep dan Implementasinya,2018,Pendidikan Karakter,Aisyah M. Ali,1
Pendidikan Pancasila : Perspektif Sejarah Perjuangan Bangsa,2013,Kewarganegaraan,Pandji Setijo,1
Pengantar Bisnis Edisi Pertama Cet. 8,2017,Bisnis," Sadono,SUKIRNO",1
Pengantar Ekonomi Makro,2019,Ekonomi Makro,Nano Prawoto,1
Pengantar Etika Bisnis,2013,Etika Profesi,BERTENS,1
Pengantar Kewirausahaan: Teori dan Aplikasi,2017,Kewirausahaan,Muhammad Anwar,1
Pengantar Metode Statistik Jilid 1,2000,Matematika Terapan," Anto,DAJAN",1
Pengantar Pemasaran Modern,2005,Manajemen Pemasaran," Mahmud,MACHFOEDZ",1
Pengantar Statistika Edisi 3,1995,Matematika Terapan," Ronald E.,WALPOLE",1
Pengantar Teori Ekonomi: pendekatan kepada teori ekonomi mikro & makro,2014,Ilmu Ekonomi," Suherman,ROSYIDI",1
Perantau Ilmu Amerika-Eropa,2018,Retorika & Kumpulan Karya Sastra,Perhimpunan Pelajar Indonesia Dunia,1
Perencanaan Bisnis,2018,Manajemen Bisnis,Hery,1
Perencanaan Pajak,2001,Perpajakan,"Erly,SUANDY",1
Perencanaan Pajak Edisi 5,2014,Perpajakan,Erly Suandy,1
"Pergaulan Tanpa Henti ; Dirumahkan Soekarno, Dipecat Soeharto",2004,Biografi,Adnan Buyung Nasution,1
Pergulatan Tanpa Henti ; Pahit Getir Merintis Demokrasi,2004,Biografi,Adnan Buyung Nasution,1
Periklanan & Promosi: Komunikasi Pemasaran Terpadu Edisi 5 Jilid 1,2003,Manajemen Pemasaran,"SHIMP,Terence A.",1
Perilaku Konsumen & Komunikasi Pemasaran,2003,Perilaku Konsumen,SUTISNA,1
Perilaku Organisasi: Konsep Dasar dan Aplikasinya,2005,Marketing,Miftah Thoha,1
Perpajakan dan Akuntansi Pajak,2006,Perpajakan,"MELIALA,Tulis S.",1
Perpajakan Indonesia Edisi 12 Buku 2,2019,Perpajakan,WALUYO,1
Perpustakaan Sebagai Jantung Sekolah,2016,Perpustakaan," M.Si,Suherman",1
Persahabatan Sukarno dan John F. Kennedy dalam 1000 hari The Untold Stories,2018,Hubungan Internasional,Sigit Aris Prasetyo,1
Personal SWOT Analysis,2018,Manajemen,Freddy Rangkuti,1
Peta Studi Islam,2015,Islam,Azim Nanji,1
Petunjuk Pemrograman C,1988,Ilmu Komputer,Purdum,1
Pokok-Pokok Materi Statistik 1 (Statistik Deskriptif),2003,Matematika Terapan," Iqbal,HASAN",1
"Praktikum Pengantar Akuntansi 1,Seri 2 Buku 2 Ed.1",2008,Akuntansi," Selvy,MONALISA",1
Praktis memahami laporan keuangan sesuai IFRS & PSAK,2011,Laporan Keuangan,"PRIHADI,Toto",1
PSAK No.10 (Rev.2010) 23 Maret 2010,2010,Akuntansi,"Dr.Adian,HUSAINI",1
Rahasia Saham dan Obligasi Edisi 1,2013,Manajemen," Irham,FAHMI",1
"Rancang Bangun Aplikasi Android dan Web: Implementasi Pada Aplikasi Market Resto Berbasis Android dan Web Menggunakan Location Based Service Dengan Java, Mysql, Lavarel, dan Firebase Notifications",2019,Ilmu Komputer,Nazruddin Safaat,1
Ranking 1,2018,Retorika & Kumpulan Karya Sastra,Sara Tee,1
Reading Power Lessons  : Literature-Based Lessons to Teach Reading Skill Grade 1,2008,Ilmu Sosial,Dottie Raymer,1
Refection of a Man II,2019,Parapsikologi,MR. Amari Soul,1
Rich Dad Poor Dad,2017,Ekonomi Keuangan,Robert Kiyosaki,1
Risk Management for Meetings and Event,2008,Manajemen Risiko,Julis Rutherford Silvers,1
Robby Lou's TOEFL Preparation Guide 2nd Edition,2009,Bahasa Inggris," Robby,LOU",1
Salesmanship : Keahlian Menjual Barang dan jasa,2000,Manajemen Pemasaran,"SUTOJO,Siswanto",1
Seandainya Aku Bisa Menanam Angin,2019,Retorika & Kumpulan Karya Sastra,Fawaz,1
"Second Chance : Untuk Uang, Hidup, dan Dunia Kita",2017,Manajemen,Robert T. Kiyosaki,1
Sehat Herbal Untuk Lansia,2015,Tumbuhan,Junus Kartasubrata,1
Sekolahnya Manusia,2019,Matematika Terapan,Munif Chatib,1
SELF DISRUPTION : Bagaimana Perusahaan Keluar dari Perangkap Masa Lalu dan Mendisrupsi Dirinya Menjadi Perusahaan yang Sehat,2018,Manajemen," Rhenaldi,KASALI",1
Service Management : Mewujudkan Layanan Prima Edisi 2,2012,Manajemen Pemasaran,Fandy Tjiptono,1
Sistem Akuntansi Ed.3,2001,Akuntansi,MULYADI,1
Sistem Akuntansi Sektor Publik Ed.2,2007,Akuntansi," Indra,BASTIAN",1
Sistem Informasi Akuntansi Buku 2 Ed.3,2002,Sistem Informasi Akuntansi," James A.,HALL",1
Sistem Informasi Akuntansi Buku 2 Edisi 4,2011,Sistem Informasi Akuntansi,James A. Hall,1
Sistem Informasi Manajemen,1997,Manajemen Informasi,"Mc LEOD Jr.,Raymond",1
Sistem Informasi Manajemen I,1995,Manajemen Informasi," Gordon B.,DAVIS",1
Sistem Operasional Manajemen Distribusi: Pengukuran dan Analisis Keuangan Saluran Distribusi,2016,Kewirausahaan,"MM.,Mikael Hang Suryanto,SE.",1
Smart Way Forex Trading,2019,Ekonomi Keuangan,Alexander Hendi,1
Soal dan Jawaban Akuntansi Biaya Edisi 2 Buku 1,2000,Akuntansi Biaya,"R.A.,SUPRIYONO",1
Statistika: Penerapan Model Rerata-Sel Multivariat dan Model Ekonometri dengan SPSS,2006,Matematika Terapan,I Gusti Ngurah Agung,1
Strategi Pemasaran Edisi 2,1997,Manajemen Strategi," Fandy,TJIPTONO",1
Strategic Management Edisi 2,2016,Manajemen Strategi,Sofjan Assauri,1
Strategic Marketing Communication : Konsep Strategis dan Terapan,2012,Manajemen Strategi,Rd. Soemanagara,1
Studi Dasar-Dasar Pemikiran Islam,2018,Islam,Muhammad Husain Abdullah,1
Studi Pembiayaan Mudharabah & Laba Perusahaan,2010,Ekonomi Keuangan,"Ali,HASAN",1
Sukses Berbicara dengan Siapa Saja : Keterampilan Interpersonal Dasar untuk Sukses dalam Situasi Apapun,2005,Ilmu Sosial,Rosalie Maggio,1
Sukses Dalam Bisnis Karir & Kehidupan,2002,Bisnis," Suryadi,SANTOSO",1
Tax Review dan Strategi Perencanaan Pajak Edisi 2,2015,Perpajakan,Thomas Sumarsan,1
Teknik Menangkarkan Burung Jalak di Rumah,2010,Manajemen,Buhanuddin Mas'ud,1
Teknik Mengelola Produk dan Merek : Konsep dan Aplikasi pada Fast Moving Consumer Goods,2017,Marketing,Chistina Ariadne Sekar Sari,1
The Apology,2019,Retorika & Kumpulan Karya Sastra,Eve Ensler,1
The Art of Islamic Banking And Finance: Tools and Techniques for Community-Based Banking,2009,Manajemen,IRTON,1
The Purpose Driven Life: Untuk Apa Aku Ada Di Dunia Ini?,2013,Moral Kristen,Rick Warren,1
The Quest for Happiness,2012,Islam,Rokhmin Dahuri,1
The Rules of Work,2003,Bisnis,Richard Templar,1
Tourism Planning ; An Integrated And Sustainable Development Approach,1991,Kewirausahaan,Edward Inskeep,1
Transaksi Bisnis dan Perbankan Internasional,2008,Ekonomi Internasional," Ramlan,GINTING",1
"Travel Marketing, Tourism Economics and the Airline Product: An Introduction to Theory and Practice",2018,Pariwisata,Mark Antony Camilleri,1
Vegads Perencanaan Produksi Tanaman Sayuran,2013,Pertanian,Anas D. Susila,1
Visual Finance,2017,Manajemen,Georgi Tsvetanov,1
Wawasan Nusantara  : Dalam Implementasai & implikasi Hukumannya Buku 2,1980,Sistem Ekonomi,Munadjat Danusaputra,1
Xpress Pro Mathematics for Senior High School,2010,Matematika Terapan,Yong Ping Kiang,1
Yap Thiam Hien,2018,Ilmu Politik dan Pemerintahan,TEMPO,1
